Cl,Cd,Volume
0.0973,0.00613,0.053505859
0.2376,0.00826,0.031438054
0.2922,0.00879,0.039241122
0.2996,0.00784,0.063358509
0.6481,0.00843,0.060769231
1.0213,0.01223,0.068355829
0.2876,0.00927,0.093807626
0.4765,0.00956,0.093180453
0.1567,0.01749,0.115158641
0.366,0.01036,0.101131654
0.4637,0.00994,0.09543354
-0.0001,0.00851,0.080800388
0.5666,0.00975,0.084336303
0.4691,0.00939,0.091626682
0.521,0.01133,0.106529226
0.3201,0.01261,0.135034974
-0.0692,0.02001,0.19123777
0.0982,0.01883,0.185407804
0.1344,0.00777,0.081166152
0.4395,0.0091,0.08253518
0.2498,0.00909,0.092333996
0.249,0.0094,0.096116512
0.4713,0.01461,0.098487416
0.2304,0.00885,0.097167276
0.0994,0.01238,0.142567666
-0.0688,0.00922,0.07269422
0.1403,0.01179,0.097880467
0.1341,0.00918,0.081329077
0.2012,0.00767,0.077077051
0.6097,0.0092,0.046154562
0.4487,0.00869,0.086845959
-0.0002,0.00691,0.065069203
0.0606,0.00869,0.092425217
0.24,0.008,0.076208982
0.2995,0.01011,0.073788245
0.0553,0.00865,0.081749862
0.0985,0.0085,0.07937275
0.1144,0.00824,0.078311954
0.0588,0.0134,0.08785686
0.1206,0.00881,0.083081562
0.4198,0.00846,0.079214979
0.4486,0.00821,0.081742246
0.4122,0.01032,0.102182971
0.3411,0.01188,0.122599557
0.195,0.00964,0.100161995
0.4465,0.01418,0.128957095
0.3056,0.00777,0.07298973
0.306,0.00784,0.073671859
-0.0437,0.00786,0.058841437
0.1287,0.00706,0.058161391
0.5933,0.01165,0.115008234
0.5614,0.01072,0.110141044
0.6534,0.01352,0.095583946
0.5948,0.0139,0.106880103
0.4081,0.01327,0.10503166
0.2833,0.0129,0.105171199
0.219,0.01275,0.103232349
0.2261,0.01306,0.118335525
0,0.00859,0.075507526
-0.0001,0.00933,0.085978096
0.0001,0.00784,0.076723116
0.4126,0.00891,0.054948749
0.4147,0.00818,0.074756585
0.371,0.00876,0.084333236
0.4513,0.0083,0.074851473
0.4439,0.00895,0.084649737
0.3097,0.00799,0.07567725
0.3022,0.00864,0.085157357
0.6994,0.00971,0.085017916
0.5222,0.00788,0.070279814
0.5967,0.00807,0.067062769
0.7448,0.00876,0.071126039
0.465,0.00756,0.065750934
0.1377,0.00713,0.065841916
-0.0259,0.00701,0.065093733
-0.1946,0.00701,0.064345199
0,0.00785,0.07454744
0.2077,0.00877,0.088351126
0.3149,0.00934,0.089406378
0.3095,0.01135,0.077565539
0.3315,0.01183,0.088137654
0.4133,0.01209,0.089467614
0.112,0.00825,0.081049996
0.9058,0.01049,0.052491067
0.6846,0.00884,0.071066159
0.8788,0.01099,0.08302877
0.8562,0.01105,0.086189657
0.1046,0.00918,0.068225835
0.6153,0.01009,0.094545165
0.5462,0.00936,0.088728134
0.0001,0.01059,0.077352198
0,0.01175,0.099316938
0.0001,0.01042,0.090249692
0,0.01013,0.099647787
0.0001,0.00973,0.107248612
-0.0001,0.00917,0.097501536
0,0.01041,0.095716709
0.1326,0.00972,0.100865411
0.0001,0.00904,0.094475621
0,0.00862,0.089245686
0.2021,0.01053,0.109052833
0.1851,0.01035,0.110087176
0.268,0.00979,0.10306108
0.2732,0.01033,0.109845347
0.2512,0.01037,0.107920182
0.3791,0.01061,0.109033579
0.5128,0.01093,0.109693162
0.4971,0.01103,0.107903784
0.5562,0.01098,0.108430736
0.5387,0.01105,0.106113052
0.5388,0.00992,0.095859303
0.6345,0.01016,0.095633435
0.7304,0.01049,0.095583845
0.6053,0.01104,0.096396638
0.714,0.01157,0.096581368
0.8178,0.01209,0.096670206
0.8317,0.01266,0.101532273
0.8156,0.011,0.098122871
0.5272,0.01071,0.107284015
0.7292,0.0113,0.10578445
0.4568,0.01148,0.119107956
0.5451,0.01148,0.118429078
0.401,0.0124,0.079274802
0.4852,0.01274,0.080449219
0.7168,0.01169,0.109282637
0.343,0.0105,0.109717594
0.6293,0.00886,0.076740889
0.5491,0.00921,0.086330967
0.3182,0.01,0.102666693
0.622,0.01339,0.104456182
0.3384,0.00986,0.086523366
0.686,0.01108,0.094875486
0.0001,0.01029,0.11308029
0.515,0.00799,0.06426776
0.6042,0.00918,0.08244899
0.6796,0.01165,0.111151191
0.6503,0.01312,0.124642852
0.0002,0.02091,0.199556266
-0.0003,0.00675,0.057459242
-0.0001,0.0078,0.077596845
0.8207,0.01091,0.094049272
-0.0006,0.0066,0.058188099
0.1429,0.00868,0.092481654
0.5631,0.01334,0.088220582
0.4818,0.01129,0.116786418
0.6017,0.01419,0.108360913
0.7376,0.00966,0.074703437
0.5253,0.00997,0.103120219
0.5721,0.01015,0.097612203
0.6931,0.00997,0.090288222
0.5515,0.0102,0.098289046
0.8117,0.01012,0.081984556
0.3304,0.00921,0.091193985
0.7891,0.01053,0.084982082
0.5606,0.00986,0.094471731
0.7785,0.01064,0.095220889
0.561,0.01126,0.107827374
0.5195,0.01159,0.110745618
0.5686,0.01127,0.107734445
0.6117,0.01226,0.115138477
0.6533,0.01131,0.099462995
0.0719,0.0104,0.048158511
